id,name,country,short_name,alias,weblink,inspire_id,active,status,pub_addr
68,"Chemistry Department, Stony Brook University, SUNY, Stony Brook, New York 11794-3400, USA",USA,stonybrk_c,"Chemistry Department, Stony Brook University",http://www.stonybrook.edu/,"SUNY, Stony Brook, Chem. Dept.",t,active,"Chemistry Department, Stony Brook University, SUNY, Stony Brook, New York 11794-3400, USA"
4,"Department of Physics, Banaras Hindu University, Varanasi 221005, India",India,banaras,Banaras Hindu University,http://www.bhu.ac.in/science/physics/index.html,Banaras Hindu U.,t,active,"Department of Physics, Banaras Hindu University, Varanasi 221005, India"
73,"Department of Physics, Tokyo Institute of Technology, Oh-okayama, Meguro, Tokyo 152-8551, Japan",Japan,titech,Tokyo Institute of Technology,http://www.titech.ac.jp/home.html,Tokyo Inst. Tech.,t,active,"Department of Physics, Tokyo Institute of Technology, Oh-okayama, Meguro, Tokyo 152-8551, Japan"
72,"University of Tennessee, Knoxville, Tennessee 37996, USA",USA,tenn,University of Tennessee,http://www.utk.edu/,Tennessee U.,t,active,"University of Tennessee, Knoxville, Tennessee 37996, USA"
87,"IPNL, CNRS/IN2P3, Univ Lyon, Université Lyon 1, F-69622, Villeurbanne, France",France,lyon,Université de Lyon,http://www.universite-lyon.fr/,,t,active,"IPNL, CNRS/IN2P3, Univ Lyon, Université Lyon 1, F-69622, Villeurbanne, France"
75,"Vanderbilt University, Nashville, Tennessee 37235, USA",USA,vandy,Vanderbilt University,http://www.vanderbilt.edu/,Vanderbilt U. (main),t,active,"Vanderbilt University, Nashville, Tennessee 37235, USA"
77,"Weizmann Institute, Rehovot 76100, Israel",Israel,weizmann,Weizmann Institute,http://www.weizmann.ac.il/,Weizmann Inst.,t,active,"Weizmann Institute, Rehovot 76100, Israel"
32,"Joint Institute for Nuclear Research, 141980 Dubna, Moscow Region, Russia",Russia,jinr_dubna,JINR - Dubna,http://www.jinr.dubna.su,"Dubna, JINR",t,dormant,"Joint Institute for Nuclear Research, 141980 Dubna, Moscow Region, Russia"
44,"LPC, Universit{\'e} Blaise Pascal, CNRS-IN2P3, Clermont-Fd, 63177 Aubiere Cedex, France",France,lpc,"LPC, Universite Blaise Pascal, Clermont-Fd, Aubiere",http://clrwww.in2p3.fr/,Clermont-Ferrand U.,t,dormant,"LPC, Universit{\'e} Blaise Pascal, CNRS-IN2P3, Clermont-Fd, 63177 Aubiere Cedex, France"
53,"Nagasaki Institute of Applied Science, Nagasaki-shi, Nagasaki 851-0193, Japan",Japan,nagasaki,Nagasaki Institute of Applied Science,http://www.nias.ac.jp/,Nagasaki Inst. Appl. Sci.,t,dormant,"Nagasaki Institute of Applied Science, Nagasaki-shi, Nagasaki 851-0193, Japan"
