institute,person,run,status
62,538,16,sec
61,543,16,sec
62,564,16,sec
62,567,16,sec
62,587,16,sec
62,599,16,sec
61,688,16,sec
61,488,16,prim
73,491,16,prim
38,493,16,prim
30,495,16,prim
61,800,16,sec
62,764,16,sec
64,874,16,sec
61,897,16,sec
61,902,16,sec
61,906,16,sec
61,909,16,sec
61,971,16,sec
61,1025,16,sec
61,1030,16,sec
39,800,16,prim
74,801,16,prim
43,805,16,prim
9,810,16,prim
9,811,16,prim
69,812,16,prim
69,816,16,prim
61,1199,16,sec
1,1146,16,prim
68,1148,16,prim
30,1149,16,prim
38,1150,16,prim
30,1151,16,prim
57,1152,16,prim
69,1596,16,prim
43,1597,16,prim
74,1606,16,prim
9,1599,16,prim
84,532,16,sec
82,1598,16,prim
69,1559,16,prim
69,1560,16,prim
69,1561,16,prim
23,1562,16,prim
11,1563,16,prim
66,1564,16,prim
20,1565,16,prim
13,1567,16,prim
23,1568,16,prim
13,1569,16,prim
48,1570,16,prim
36,1571,16,prim
51,1572,16,prim
69,1573,16,prim
37,1574,16,prim
52,1575,16,prim
52,1576,16,prim
74,1577,16,prim
46,1578,16,prim
48,1637,16,prim
68,1580,16,prim
18,1581,16,prim
1,1582,16,prim
1,1583,16,prim
48,1584,16,prim
55,1585,16,prim
79,1586,16,prim
68,1587,16,prim
56,1589,16,prim
48,1590,16,prim
3,1591,16,prim
51,1592,16,prim
51,1593,16,prim
69,1594,16,prim
14,1595,16,prim
60,10,16,prim
12,31,16,prim
48,86,16,prim
60,104,16,prim
69,118,16,prim
28,142,16,prim
8,147,16,prim
67,150,16,prim
38,154,16,prim
27,167,16,prim
27,211,16,prim
38,237,16,prim
59,251,16,prim
30,260,16,prim
43,273,16,prim
38,283,16,prim
27,294,16,prim
27,298,16,prim
14,303,16,prim
48,304,16,prim
68,305,16,prim
61,306,16,prim
68,308,16,prim
27,1638,16,prim
57,314,16,prim
26,315,16,prim
21,316,16,prim
21,317,16,prim
9,319,16,prim
72,516,3,sec
62,431,3,prim
6,322,16,prim
62,414,1,sec
61,309,6,sec
69,142,5,sec
69,142,6,sec
54,1614,15,prim
18,1620,15,prim
74,1627,15,prim
56,1632,15,prim
8,327,16,prim
64,330,16,prim
62,334,16,prim
43,335,16,prim
26,337,16,prim
15,343,16,prim
8,345,16,prim
74,347,16,prim
77,349,16,prim
15,351,16,prim
19,353,16,prim
78,354,16,prim
8,357,16,prim
69,358,16,prim
26,359,16,prim
69,360,16,prim
65,361,16,prim
69,362,16,prim
65,363,16,prim
45,547,16,prim
84,657,16,prim
8,786,16,prim
15,340,16,prim
83,1611,16,prim
36,309,16,prim
40,364,16,prim
69,365,16,prim
26,366,16,prim
57,368,16,prim
15,372,16,prim
63,373,16,prim
61,374,16,prim
51,375,16,prim
54,376,16,prim
10,377,16,prim
10,378,16,prim
40,379,16,prim
56,381,16,prim
8,382,16,prim
22,383,16,prim
53,386,16,prim
42,388,16,prim
42,389,16,prim
40,391,16,prim
61,393,16,prim
3,394,16,prim
13,395,16,prim
8,398,16,prim
13,399,16,prim
59,400,16,prim
23,404,16,prim
9,405,16,prim
30,406,16,prim
21,408,16,prim
25,409,16,prim
37,410,16,prim
36,414,16,prim
61,415,16,prim
31,417,16,prim
18,418,16,prim
74,419,16,prim
69,424,16,prim
8,427,16,prim
58,428,16,prim
69,430,16,prim
47,434,16,prim
60,435,16,prim
8,441,16,prim
63,453,16,prim
79,454,16,prim
68,456,16,prim
30,457,16,prim
30,458,16,prim
12,462,16,prim
16,463,16,prim
43,465,16,prim
75,466,16,prim
8,467,16,prim
75,468,16,prim
7,469,16,prim
38,470,16,prim
